metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.767,0.366,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/results.csv,"{'Online-B': 0.4360179814584626, 'bleurt_bestmbr': 0.3890285105817384, 'M2M100_1.2B-B4': 0.2911464012695433, 'Online-G': 0.3989185684731637, 'PROMT': 0.3846768537914613, 'Online-W': 0.4580828810039747, 'OpenNMT': 0.3584765116634116, 'Lan-Bridge': 0.4107700932645457, 'refA': 0.3763545117981266, 'Online-A': 0.417523204664576, 'refB': 1.4662446049042046, 'QUARTZ_TuneReranking': 0.364119072912672, 'Online-Y': 0.440726956443541, 'bleu_bestmbr': 0.4359105783287305, 'comet_bestmbr': 0.4201534928934052, 'JDExploreAcademy': 0.4176127635728335}"
BERTScore,0.667,0.34,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/results.csv,"{'Online-B': 0.8811548495432362, 'bleurt_bestmbr': 0.8640168476849794, 'M2M100_1.2B-B4': 0.8615347377490252, 'Online-G': 0.8765281578525901, 'PROMT': 0.8774703522212803, 'Online-W': 0.8788079885998741, 'OpenNMT': 0.8700443583074957, 'Lan-Bridge': 0.8766037560999393, 'refA': 0.8694598795846105, 'Online-A': 0.8784232616890222, 'refB': 1.000000001396984, 'QUARTZ_TuneReranking': 0.8655193659942597, 'Online-Y': 0.8818336254917085, 'bleu_bestmbr': 0.8813258406007662, 'comet_bestmbr': 0.8672442607348785, 'JDExploreAcademy': 0.8795352861052379}"
TER,0.608,0.27,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/results.csv,"{'Online-B': -0.5067398901647528, 'bleurt_bestmbr': -0.5881178232651023, 'M2M100_1.2B-B4': -0.5627808287568647, 'Online-G': -0.5229655516724913, 'PROMT': -0.5254618072890664, 'Online-W': -0.5309535696455318, 'OpenNMT': -0.540564153769346, 'Lan-Bridge': -0.5111083374937594, 'refA': -0.5797553669495756, 'Online-A': -0.5154767848227658, 'refB': -0.0, 'QUARTZ_TuneReranking': -0.5609086370444334, 'Online-Y': -0.5083624563155267, 'bleu_bestmbr': -0.5011233150274588, 'comet_bestmbr': -0.5680229655516725, 'JDExploreAcademy': -0.510234648027958}"
BLEU,0.592,0.271,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/results.csv,"{'Online-B': 0.3694303824760221, 'bleurt_bestmbr': 0.2918686111444586, 'M2M100_1.2B-B4': 0.3093220475855859, 'Online-G': 0.3541575151550671, 'PROMT': 0.3581728092183509, 'Online-W': 0.3443125483972157, 'OpenNMT': 0.3404368452065668, 'Lan-Bridge': 0.3564614430560939, 'refA': 0.3045770393200122, 'Online-A': 0.3643329704544829, 'refB': 1.0000000000000004, 'QUARTZ_TuneReranking': 0.3140870700163584, 'Online-Y': 0.3650225891555071, 'bleu_bestmbr': 0.3640341610604555, 'comet_bestmbr': 0.2934258326558797, 'JDExploreAcademy': 0.371105476107635}"
chrF,0.642,0.298,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/results.csv,"{'Online-B': 0.6023696738789485, 'bleurt_bestmbr': 0.5610069118383822, 'M2M100_1.2B-B4': 0.550692705817144, 'Online-G': 0.5916802771701104, 'PROMT': 0.5911403457161675, 'Online-W': 0.5922744032841594, 'OpenNMT': 0.5760157586322285, 'Lan-Bridge': 0.5967852334861855, 'refA': 0.5517657559069983, 'Online-A': 0.5978585992691446, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.5611397608562103, 'Online-Y': 0.6001231264309022, 'bleu_bestmbr': 0.5998903464189845, 'comet_bestmbr': 0.5615694446685572, 'JDExploreAcademy': 0.5989330029959805}"
ZeroEdit,0.717,0.277,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/results.csv,"{'Online-B': 0.044921875, 'bleurt_bestmbr': 0.03515625, 'M2M100_1.2B-B4': 0.0234375, 'Online-G': 0.0390625, 'PROMT': 0.03515625, 'Online-W': 0.041015625, 'OpenNMT': 0.025390625, 'Lan-Bridge': 0.041015625, 'refA': 0.041015625, 'Online-A': 0.037109375, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.02734375, 'Online-Y': 0.048828125, 'bleu_bestmbr': 0.044921875, 'comet_bestmbr': 0.03125, 'JDExploreAcademy': 0.03515625}"
GLEU,0.692,0.336,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/results.csv,"{'Online-B': 0.6794667784744617, 'bleurt_bestmbr': 0.6434610756979336, 'M2M100_1.2B-B4': 0.6331238064117013, 'Online-G': 0.6724850917314039, 'PROMT': 0.6721203044496431, 'Online-W': 0.6773943748694078, 'OpenNMT': 0.649229715455336, 'Lan-Bridge': 0.6727089758631131, 'refA': 0.6500401797638694, 'Online-A': 0.6761578340614289, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6439155384424976, 'Online-Y': 0.6805871040425117, 'bleu_bestmbr': 0.6795310883078108, 'comet_bestmbr': 0.6515149668756843, 'JDExploreAcademy': 0.675645631624198}"
Average,0.725,0.321,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/universal_metrics/average_ranks_systems.csv,"{'Online-B': 0.502871632999412, 'bleurt_bestmbr': 0.4818080043160849, 'M2M100_1.2B-B4': 0.4617197182271235, 'Online-G': 0.4936853802935466, 'PROMT': 0.4920283889551385, 'Online-W': 0.5032630558285948, 'OpenNMT': 0.4800225668620549, 'Lan-Bridge': 0.495064780609091, 'refA': 0.4818526226175989, 'Online-A': 0.4981260042802029, 'refB': 0.9237492294715984, 'QUARTZ_TuneReranking': 0.4767190278952045, 'Online-Y': 0.5036405689828138, 'bleu_bestmbr': 0.5009624578206009, 'comet_bestmbr': 0.4847401376257253, 'JDExploreAcademy': 0.4983175797762633}"
Median,0.483,0.225,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/universal_metrics/median_ranks_systems.csv,"{'Online-B': 0.5067398901647528, 'bleurt_bestmbr': 0.5610069118383822, 'M2M100_1.2B-B4': 0.550692705817144, 'Online-G': 0.5229655516724913, 'PROMT': 0.5254618072890664, 'Online-W': 0.5309535696455318, 'OpenNMT': 0.540564153769346, 'Lan-Bridge': 0.5111083374937594, 'refA': 0.5517657559069983, 'Online-A': 0.5154767848227658, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.5609086370444334, 'Online-Y': 0.5083624563155267, 'bleu_bestmbr': 0.5011233150274588, 'comet_bestmbr': 0.5615694446685572, 'JDExploreAcademy': 0.510234648027958}"
Social Choice Theory,0.667,0.48,en-de,social,en-de.refB.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refB.txt-social/universal_metrics/social-choice-theory_ranks_systems.csv,"{'Online-B': 101.0, 'bleurt_bestmbr': 26.0, 'M2M100_1.2B-B4': 19.0, 'Online-G': 60.0, 'PROMT': 57.0, 'Online-W': 76.0, 'OpenNMT': 38.0, 'Lan-Bridge': 70.0, 'refA': 35.0, 'Online-A': 77.0, 'refB': 119.0, 'QUARTZ_TuneReranking': 32.0, 'Online-Y': 104.0, 'bleu_bestmbr': 98.0, 'comet_bestmbr': 41.0, 'JDExploreAcademy': 84.0}"
