metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.617,0.144,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/results.csv,"{'Online-B': 0.6786019213216484, 'bleurt_bestmbr': 0.6209370441304274, 'M2M100_1.2B-B4': 0.5226793072493923, 'Online-G': 0.6576580308817046, 'PROMT': 0.6040005832708458, 'Online-W': 0.6393159540958773, 'OpenNMT': 0.5879437468840547, 'Lan-Bridge': 0.6737836723400386, 'refA': 0.600139979919735, 'Online-A': 0.646860838686731, 'refB': 1.531206653140626, 'QUARTZ_TuneReranking': 0.5948463879385084, 'Online-Y': 0.664319262027143, 'bleu_bestmbr': 0.6735894315542197, 'comet_bestmbr': 0.6564785453359122, 'JDExploreAcademy': 0.6378030460819883}"
BERTScore,0.558,0.137,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/results.csv,"{'Online-B': 0.8962009573882481, 'bleurt_bestmbr': 0.8785061120986939, 'M2M100_1.2B-B4': 0.8715276254797881, 'Online-G': 0.8938158079138342, 'PROMT': 0.8865764832721567, 'Online-W': 0.8900784857992856, 'OpenNMT': 0.8810472483904856, 'Lan-Bridge': 0.8953489981732279, 'refA': 0.8800664829757978, 'Online-A': 0.8922423594402817, 'refB': 0.999999997750768, 'QUARTZ_TuneReranking': 0.8792410904506467, 'Online-Y': 0.8935977963906414, 'bleu_bestmbr': 0.8960539103678937, 'comet_bestmbr': 0.8830143171661305, 'JDExploreAcademy': 0.8910118775547675}"
TER,0.533,0.071,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/results.csv,"{'Online-B': -0.4861277206409949, 'bleurt_bestmbr': -0.5678067447978953, 'M2M100_1.2B-B4': -0.5644582635733079, 'Online-G': -0.4942597464721359, 'PROMT': -0.5214063621143267, 'Online-W': -0.5275053814876823, 'OpenNMT': -0.5351590528581679, 'Lan-Bridge': -0.4889978474049271, 'refA': -0.5559674718966754, 'Online-A': -0.5013154747668022, 'refB': -0.0, 'QUARTZ_TuneReranking': -0.554771585745037, 'Online-Y': -0.4997608227696723, 'bleu_bestmbr': -0.4837359483377182, 'comet_bestmbr': -0.5418560153073427, 'JDExploreAcademy': -0.5120784501315475}"
BLEU,0.55,0.062,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/results.csv,"{'Online-B': 0.3807442863701621, 'bleurt_bestmbr': 0.3110461489534115, 'M2M100_1.2B-B4': 0.3107822642767515, 'Online-G': 0.3730026304419788, 'PROMT': 0.350073854695581, 'Online-W': 0.3570925274159225, 'OpenNMT': 0.3364938720501915, 'Lan-Bridge': 0.3788786046615303, 'refA': 0.3231749535727747, 'Online-A': 0.3728749683415415, 'refB': 1.0000000000000004, 'QUARTZ_TuneReranking': 0.320518399451447, 'Online-Y': 0.3695245657718884, 'bleu_bestmbr': 0.3861719804991776, 'comet_bestmbr': 0.3249207359443596, 'JDExploreAcademy': 0.3637601145190124}"
chrF,0.567,0.113,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/results.csv,"{'Online-B': 0.6522478831930762, 'bleurt_bestmbr': 0.618064084384918, 'M2M100_1.2B-B4': 0.5911601160018719, 'Online-G': 0.6484771362292573, 'PROMT': 0.6292987262020427, 'Online-W': 0.6387569924428174, 'OpenNMT': 0.6145227804025395, 'Lan-Bridge': 0.6527061856747072, 'refA': 0.6066370806577768, 'Online-A': 0.645371224849438, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6104927373176012, 'Online-Y': 0.6502035664625346, 'bleu_bestmbr': 0.6530905627313999, 'comet_bestmbr': 0.6235188111176159, 'JDExploreAcademy': 0.6412833201332937}"
ZeroEdit,0.5,0.025,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/results.csv,"{'Online-B': 0.0433962264150943, 'bleurt_bestmbr': 0.0245283018867924, 'M2M100_1.2B-B4': 0.0264150943396226, 'Online-G': 0.0415094339622641, 'PROMT': 0.0339622641509433, 'Online-W': 0.0396226415094339, 'OpenNMT': 0.030188679245283, 'Lan-Bridge': 0.0509433962264151, 'refA': 0.0339622641509433, 'Online-A': 0.0471698113207547, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.0264150943396226, 'Online-Y': 0.0339622641509433, 'bleu_bestmbr': 0.0415094339622641, 'comet_bestmbr': 0.0245283018867924, 'JDExploreAcademy': 0.030188679245283}"
GLEU,0.567,0.116,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/results.csv,"{'Online-B': 0.7247296882850753, 'bleurt_bestmbr': 0.6907770304671279, 'M2M100_1.2B-B4': 0.6733146919668228, 'Online-G': 0.7215465626604102, 'PROMT': 0.7070411953221941, 'Online-W': 0.7103553945397859, 'OpenNMT': 0.6910008499157516, 'Lan-Bridge': 0.724913284442147, 'refA': 0.6890589367449163, 'Online-A': 0.7199072903154092, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6880187549015989, 'Online-Y': 0.723481319993442, 'bleu_bestmbr': 0.7261782223123854, 'comet_bestmbr': 0.6985410586350657, 'JDExploreAcademy': 0.7169714650458323}"
Average,0.583,0.091,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/universal_metrics/average_ranks_systems.csv,"{'Online-B': 0.5517212405163284, 'bleurt_bestmbr': 0.5302379238170382, 'M2M100_1.2B-B4': 0.5086196232696512, 'Online-G': 0.5471813355087979, 'PROMT': 0.5331942098611558, 'Online-W': 0.5432467681844008, 'OpenNMT': 0.5251937471066391, 'Lan-Bridge': 0.5522245698461419, 'refA': 0.5270010242740886, 'Online-A': 0.5465345668172799, 'refB': 0.9330295215559136, 'QUARTZ_TuneReranking': 0.5249005785920661, 'Online-Y': 0.5478356567951808, 'bleu_bestmbr': 0.5514756413950084, 'comet_bestmbr': 0.53612254077046, 'JDExploreAcademy': 0.5418709932445321}"
Median,0.617,0.188,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/universal_metrics/median_ranks_systems.csv,"{'Online-B': 0.6522478831930762, 'bleurt_bestmbr': 0.618064084384918, 'M2M100_1.2B-B4': 0.5644582635733079, 'Online-G': 0.6484771362292573, 'PROMT': 0.6040005832708458, 'Online-W': 0.6387569924428174, 'OpenNMT': 0.5879437468840547, 'Lan-Bridge': 0.6527061856747072, 'refA': 0.600139979919735, 'Online-A': 0.645371224849438, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.5948463879385084, 'Online-Y': 0.6502035664625346, 'bleu_bestmbr': 0.6530905627313999, 'comet_bestmbr': 0.6235188111176159, 'JDExploreAcademy': 0.6378030460819883}"
Social Choice Theory,0.575,0.34,en-de,ecommerce,en-de.refB.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refB.txt-ecommerce/universal_metrics/social-choice-theory_ranks_systems.csv,"{'Online-B': 102.0, 'bleurt_bestmbr': 28.0, 'M2M100_1.2B-B4': 16.0, 'Online-G': 83.0, 'PROMT': 52.0, 'Online-W': 59.0, 'OpenNMT': 38.0, 'Lan-Bridge': 101.0, 'refA': 31.0, 'Online-A': 75.0, 'refB': 119.0, 'QUARTZ_TuneReranking': 27.0, 'Online-Y': 79.0, 'bleu_bestmbr': 104.0, 'comet_bestmbr': 46.0, 'JDExploreAcademy': 62.0}"
