metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.783,0.626,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/results.csv,"{'HuaweiTSC': 0.5526117652516104, 'JDExploreAcademy': 0.664553640034119, 'Lan-Bridge': 0.7228563667654083, 'M2M100_1.2B-B4': 0.419641421113956, 'Online-A': 0.7108269000121908, 'Online-B': 0.8402203360499337, 'Online-G': 0.7283277584688184, 'Online-W': 0.7487143836347848, 'Online-Y': 0.8740153172368968, 'PROMT': 0.6369951923429766, 'QUARTZ_TuneReranking': 0.4117711207594661, 'SRPOL': 0.6534588514280714, 'bleu_bestmbr': 0.8102385175591411, 'comet_bestmbr': 0.8353401845963748, 'eTranslation': 0.5685580603293459, 'refA': 1.809100012395008}"
BERTScore,0.767,0.615,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/results.csv,"{'HuaweiTSC': 0.8672257844081595, 'JDExploreAcademy': 0.8773861315624774, 'Lan-Bridge': 0.8784111767760978, 'M2M100_1.2B-B4': 0.8490025787806708, 'Online-A': 0.879514443726579, 'Online-B': 0.8946489293959515, 'Online-G': 0.8823338330777224, 'Online-W': 0.881653158132695, 'Online-Y': 0.8955892397106187, 'PROMT': 0.8740105775515895, 'QUARTZ_TuneReranking': 0.8343576786439281, 'SRPOL': 0.8740745803787688, 'bleu_bestmbr': 0.8925260926081129, 'comet_bestmbr': 0.8815321095965125, 'eTranslation': 0.866203260446383, 'refA': 1.0000000092362569}"
TER,0.808,0.569,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/results.csv,"{'HuaweiTSC': -0.5702206640544443, 'JDExploreAcademy': -0.5539286450814601, 'Lan-Bridge': -0.5046401319859765, 'M2M100_1.2B-B4': -0.6209527737677871, 'Online-A': -0.5479480305217571, 'Online-B': -0.5031965353681171, 'Online-G': -0.5491853990513508, 'Online-W': -0.530006186842648, 'Online-Y': -0.5124767993400701, 'PROMT': -0.5582594349350382, 'QUARTZ_TuneReranking': -0.7356155908434728, 'SRPOL': -0.5766137347906785, 'bleu_bestmbr': -0.4926789028665704, 'comet_bestmbr': -0.5700144359661786, 'eTranslation': -0.5877500515570221, 'refA': -0.0}"
BLEU,0.725,0.476,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/results.csv,"{'HuaweiTSC': 0.3396889380326444, 'JDExploreAcademy': 0.3508470416534811, 'Lan-Bridge': 0.3558055367127206, 'M2M100_1.2B-B4': 0.3066271184066377, 'Online-A': 0.364137048024912, 'Online-B': 0.3964873055063972, 'Online-G': 0.3582976120018458, 'Online-W': 0.3702630397229907, 'Online-Y': 0.4059478196171793, 'PROMT': 0.3626735459436025, 'QUARTZ_TuneReranking': 0.266088033731878, 'SRPOL': 0.3364530815989588, 'bleu_bestmbr': 0.4054843836346456, 'comet_bestmbr': 0.3326955825363885, 'eTranslation': 0.2908311428763221, 'refA': 1.0000000000000004}"
chrF,0.792,0.579,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/results.csv,"{'HuaweiTSC': 0.547101310477499, 'JDExploreAcademy': 0.5789736119378346, 'Lan-Bridge': 0.614251297509317, 'M2M100_1.2B-B4': 0.5129115924331776, 'Online-A': 0.5878119845955198, 'Online-B': 0.6250617986545868, 'Online-G': 0.6069029279082424, 'Online-W': 0.5969628793574024, 'Online-Y': 0.622136059912088, 'PROMT': 0.5717480891050215, 'QUARTZ_TuneReranking': 0.4915744859928856, 'SRPOL': 0.5624460340508198, 'bleu_bestmbr': 0.6234184708367864, 'comet_bestmbr': 0.5808956635336633, 'eTranslation': 0.5477488803944841, 'refA': 1.0}"
ZeroEdit,0.758,0.41,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/results.csv,"{'HuaweiTSC': 0.0516528925619834, 'JDExploreAcademy': 0.0537190082644628, 'Lan-Bridge': 0.0785123966942148, 'M2M100_1.2B-B4': 0.018595041322314, 'Online-A': 0.0661157024793388, 'Online-B': 0.1115702479338843, 'Online-G': 0.0495867768595041, 'Online-W': 0.0723140495867768, 'Online-Y': 0.1301652892561983, 'PROMT': 0.0826446280991735, 'QUARTZ_TuneReranking': 0.0206611570247933, 'SRPOL': 0.0702479338842975, 'bleu_bestmbr': 0.1033057851239669, 'comet_bestmbr': 0.1136363636363636, 'eTranslation': 0.0495867768595041, 'refA': 1.0}"
GLEU,0.783,0.622,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/results.csv,"{'HuaweiTSC': 0.6084404717965581, 'JDExploreAcademy': 0.637596900533905, 'Lan-Bridge': 0.6621904586737657, 'M2M100_1.2B-B4': 0.5661329070396909, 'Online-A': 0.6553801645264141, 'Online-B': 0.6969751181037869, 'Online-G': 0.6495674453020791, 'Online-W': 0.6626479866092339, 'Online-Y': 0.6963155949092994, 'PROMT': 0.6404158855473105, 'QUARTZ_TuneReranking': 0.5294199479250351, 'SRPOL': 0.6357848134554958, 'bleu_bestmbr': 0.6893962121137003, 'comet_bestmbr': 0.6657679668182269, 'eTranslation': 0.620082285411866, 'refA': 1.0}"
Average,0.8,0.56,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/universal_results.csv,"{'HuaweiTSC': 0.5171706594068863, 'JDExploreAcademy': 0.53955298126968, 'Lan-Bridge': 0.5637084168232633, 'M2M100_1.2B-B4': 0.477448167824526, 'Online-A': 0.5514892518338718, 'Online-B': 0.5916652903216367, 'Online-G': 0.5516667250474933, 'Online-W': 0.5611703026262633, 'Online-Y': 0.596383551811966, 'PROMT': 0.541675841069021, 'QUARTZ_TuneReranking': 0.4446244675506828, 'SRPOL': 0.5327317334702426, 'bleu_bestmbr': 0.5895101857471732, 'comet_bestmbr': 0.5603119060647377, 'eTranslation': 0.5101401892280301, 'refA': 1.0}"
Median,0.792,0.579,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/universal_results.csv,"{'HuaweiTSC': 0.547101310477499, 'JDExploreAcademy': 0.5789736119378346, 'Lan-Bridge': 0.614251297509317, 'M2M100_1.2B-B4': 0.5129115924331776, 'Online-A': 0.5878119845955198, 'Online-B': 0.6250617986545868, 'Online-G': 0.6069029279082424, 'Online-W': 0.5969628793574024, 'Online-Y': 0.622136059912088, 'PROMT': 0.5717480891050215, 'QUARTZ_TuneReranking': 0.4915744859928856, 'SRPOL': 0.5624460340508198, 'bleu_bestmbr': 0.6234184708367864, 'comet_bestmbr': 0.5808956635336633, 'eTranslation': 0.5477488803944841, 'refA': 1.0}"
Social Choice Theory,0.8,0.799,en-ru,conversation,en-ru.refA.txt-conversation,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.171011235955056, 'JDExploreAcademy': -0.7051685393258424, 'Lan-Bridge': -0.5130337078651683, 'M2M100_1.2B-B4': -1.5788764044943824, 'Online-A': -0.833258426966292, 'Online-B': -0.6779775280898875, 'Online-G': -0.7125842696629211, 'Online-W': -0.41370786516853925, 'Online-Y': -0.859325842696629, 'PROMT': -0.7307865168539323, 'QUARTZ_TuneReranking': -1.4577528089887644, 'SRPOL': -1.429662921348315, 'bleu_bestmbr': -0.6260674157303369, 'comet_bestmbr': -0.5689887640449437, 'eTranslation': -1.3173033707865172, 'refA': -0.3887640449438201}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-ru/domains/conversation/nlp-telescope-scores/en-ru-conversation/en-ru.refA.txt-conversation/universal_results.csv,"{'HuaweiTSC': 29.0, 'JDExploreAcademy': 48.0, 'Lan-Bridge': 71.0, 'M2M100_1.2B-B4': 15.0, 'Online-A': 63.0, 'Online-B': 104.0, 'Online-G': 63.0, 'Online-W': 75.0, 'Online-Y': 105.0, 'PROMT': 51.0, 'QUARTZ_TuneReranking': 9.0, 'SRPOL': 39.0, 'bleu_bestmbr': 98.0, 'comet_bestmbr': 69.0, 'eTranslation': 24.0, 'refA': 119.0}"
