metric,System Accuracy,Spearman,Pearson,Kendall,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.7,0.503,0.586,0.4,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/results.csv,"{'Lan-Bridge': 0.3397751115049024, 'JDExploreAcademy': 0.3343216040862836, 'M2M100_1.2B-B4': 0.1544654063658954, 'Online-Y': 0.2931390920237646, 'AISP-SJTU': 0.3497867351651383, 'comet_bestmbr': 0.3594624012986193, 'refA': 1.6455979934736105, 'Online-W': 0.3991674736334293, 'LanguageX': 0.367295328615751, 'HuaweiTSC': 0.4913477068967092, 'Online-B': 0.2847969822390779, 'bleu_bestmbr': 0.2605409034231629, 'Online-A': 0.2905332442669246, 'bleurt_bestmbr': 0.3246820454757906, 'Online-G': 0.3893790502530819, 'refB': 0.7009544603000889}"
BERTScore,0.75,0.618,0.611,0.5,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/results.csv,"{'Lan-Bridge': 0.9303084953466596, 'JDExploreAcademy': 0.9300442594170228, 'M2M100_1.2B-B4': 0.9203316159439632, 'Online-Y': 0.9265096110737426, 'AISP-SJTU': 0.9302024877173852, 'comet_bestmbr': 0.9300043977434108, 'refA': 1.0000000073438386, 'Online-W': 0.9348883282147712, 'LanguageX': 0.9326094670760255, 'HuaweiTSC': 0.9392195072420004, 'Online-B': 0.9283108578028856, 'bleu_bestmbr': 0.9277197952598418, 'Online-A': 0.9256460586386628, 'bleurt_bestmbr': 0.9299945399207852, 'Online-G': 0.9326588405579072, 'refB': 0.9549877185876186}"
TER,0.7,0.568,0.519,0.4,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/results.csv,"{'Lan-Bridge': -0.634984520123839, 'JDExploreAcademy': -0.6256965944272446, 'M2M100_1.2B-B4': -0.6835913312693499, 'Online-Y': -0.6575851393188854, 'AISP-SJTU': -0.6578947368421053, 'comet_bestmbr': -0.6736842105263158, 'refA': -0.0, 'Online-W': -0.618266253869969, 'LanguageX': -0.6247678018575852, 'HuaweiTSC': -0.6043343653250774, 'Online-B': -0.6427244582043343, 'bleu_bestmbr': -0.6213622291021672, 'Online-A': -0.6770897832817337, 'bleurt_bestmbr': -0.6551083591331269, 'Online-G': -0.625077399380805, 'refB': -0.5303405572755417}"
BLEU,0.717,0.547,0.517,0.433,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/results.csv,"{'Lan-Bridge': 0.2447127038365885, 'JDExploreAcademy': 0.256424832020776, 'M2M100_1.2B-B4': 0.2055590782518929, 'Online-Y': 0.2372023478000102, 'AISP-SJTU': 0.2585068636742474, 'comet_bestmbr': 0.2264364478599755, 'refA': 1.0000000000000004, 'Online-W': 0.2672333269400273, 'LanguageX': 0.2651061520215187, 'HuaweiTSC': 0.3007627876300728, 'Online-B': 0.2338052197061852, 'bleu_bestmbr': 0.2502640474560306, 'Online-A': 0.2277176212026755, 'bleurt_bestmbr': 0.2245517037014156, 'Online-G': 0.2784064484278867, 'refB': 0.4134674521086136}"
chrF,0.758,0.629,0.604,0.517,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/results.csv,"{'Lan-Bridge': 0.48017422178624, 'JDExploreAcademy': 0.4876310528813314, 'M2M100_1.2B-B4': 0.3976926872871443, 'Online-Y': 0.4693868219296297, 'AISP-SJTU': 0.4951526350559235, 'comet_bestmbr': 0.4783833893012382, 'refA': 1.0, 'Online-W': 0.4982817883336302, 'LanguageX': 0.4977294997934455, 'HuaweiTSC': 0.5081811810181155, 'Online-B': 0.4728312154609408, 'bleu_bestmbr': 0.4807814357484167, 'Online-A': 0.4643861070757317, 'bleurt_bestmbr': 0.4734060782132402, 'Online-G': 0.4993978019587894, 'refB': 0.613101248372206}"
ZeroEdit,0.658,0.43,0.434,0.376,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/results.csv,"{'Lan-Bridge': 0.0171919770773638, 'JDExploreAcademy': 0.0114613180515759, 'M2M100_1.2B-B4': 0.0229226361031518, 'Online-Y': 0.0057306590257879, 'AISP-SJTU': 0.0114613180515759, 'comet_bestmbr': 0.0057306590257879, 'refA': 1.0, 'Online-W': 0.0229226361031518, 'LanguageX': 0.0143266475644699, 'HuaweiTSC': 0.0573065902578796, 'Online-B': 0.0085959885386819, 'bleu_bestmbr': 0.0057306590257879, 'Online-A': 0.0057306590257879, 'bleurt_bestmbr': 0.0114613180515759, 'Online-G': 0.0085959885386819, 'refB': 0.1518624641833811}"
GLEU,0.725,0.571,0.614,0.45,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/results.csv,"{'Lan-Bridge': 0.5648230219514955, 'JDExploreAcademy': 0.5657720078182995, 'M2M100_1.2B-B4': 0.4925109163918913, 'Online-Y': 0.5511031454969075, 'AISP-SJTU': 0.5766955786799765, 'comet_bestmbr': 0.5679407331756036, 'refA': 1.0, 'Online-W': 0.592193967804673, 'LanguageX': 0.5781077394406623, 'HuaweiTSC': 0.6081997897372452, 'Online-B': 0.5529257717049733, 'bleu_bestmbr': 0.5560617618944322, 'Online-A': 0.5534657090878783, 'bleurt_bestmbr': 0.5576771764546519, 'Online-G': 0.5810790129710702, 'refB': 0.6976256634694168}"
Average,0.7,0.524,0.551,0.4,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/universal_metrics/average_ranks_systems.csv,"{'Lan-Bridge': 0.4588528645181555, 'JDExploreAcademy': 0.458764524100362, 'M2M100_1.2B-B4': 0.4110105245161842, 'Online-Y': 0.448665259524104, 'AISP-SJTU': 0.4685286221694788, 'comet_bestmbr': 0.4630917484187073, 'refA': 0.9493711429739212, 'Online-W': 0.4761362535570931, 'LanguageX': 0.4685632337670654, 'HuaweiTSC': 0.5013359897295858, 'Online-B': 0.4462843562367256, 'bleu_bestmbr': 0.4432086902728342, 'Online-A': 0.4492241689399135, 'bleurt_bestmbr': 0.4538401744215123, 'Online-G': 0.4735135060126031, 'refB': 0.5803342234709808}"
Median,0.758,0.629,0.604,0.517,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/universal_metrics/median_ranks_systems.csv,"{'Lan-Bridge': 0.48017422178624, 'JDExploreAcademy': 0.4876310528813314, 'M2M100_1.2B-B4': 0.3976926872871443, 'Online-Y': 0.4693868219296297, 'AISP-SJTU': 0.4951526350559235, 'comet_bestmbr': 0.4783833893012382, 'refA': 1.0, 'Online-W': 0.4982817883336302, 'LanguageX': 0.4977294997934455, 'HuaweiTSC': 0.5081811810181155, 'Online-B': 0.4728312154609408, 'bleu_bestmbr': 0.4807814357484167, 'Online-A': 0.4643861070757317, 'bleurt_bestmbr': 0.4734060782132402, 'Online-G': 0.4993978019587894, 'refB': 0.613101248372206}"
Social Choice Theory,0.758,0.621,0.739,0.517,zh-en,conversation,zh-en.refA.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refA.txt-conversation/universal_metrics/social-choice-theory_ranks_systems.csv,"{'Lan-Bridge': 80.0, 'JDExploreAcademy': 82.0, 'M2M100_1.2B-B4': 27.0, 'Online-Y': 51.0, 'AISP-SJTU': 83.0, 'comet_bestmbr': 64.0, 'refA': 140.0, 'Online-W': 116.0, 'LanguageX': 102.0, 'HuaweiTSC': 126.0, 'Online-B': 56.0, 'bleu_bestmbr': 68.0, 'Online-A': 41.0, 'bleurt_bestmbr': 59.0, 'Online-G': 106.0, 'refB': 133.0}"
