metrics,system_accuracy,spearman,pearson,kendall,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.792,0.756,0.544,0.583,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/results.csv,"{'HuaweiTSC': 0.5368114271567526, 'JDExploreAcademy': 0.5539130269506046, 'Lan-Bridge': 0.5022437060078689, 'M2M100_1.2B-B4': 0.4699207435921563, 'Online-A': 0.5426189511250741, 'Online-B': 0.5799313889089206, 'Online-G': 0.5705541315144056, 'Online-W': 0.5826855406644453, 'Online-Y': 0.5203553835538793, 'PROMT': 0.5081874595256978, 'QUARTZ_TuneReranking': 0.5495717909365688, 'SRPOL': 0.5221100089872901, 'bleu_bestmbr': 0.574636594437923, 'comet_bestmbr': 0.587990506738971, 'eTranslation': 0.5055821170645844, 'refA': 1.4811796825925898}"
BERTScore,0.85,0.874,0.596,0.7,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/results.csv,"{'HuaweiTSC': 0.8671688112027491, 'JDExploreAcademy': 0.8699332829090947, 'Lan-Bridge': 0.8566719855814298, 'M2M100_1.2B-B4': 0.857839229872082, 'Online-A': 0.8700385701399727, 'Online-B': 0.874491196205938, 'Online-G': 0.8704423676964821, 'Online-W': 0.8685131039171536, 'Online-Y': 0.8667605525126896, 'PROMT': 0.8632834224784911, 'QUARTZ_TuneReranking': 0.8538954271962265, 'SRPOL': 0.866745016346239, 'bleu_bestmbr': 0.8745936189145724, 'comet_bestmbr': 0.8645928874174442, 'eTranslation': 0.8636383766530777, 'refA': 0.9999999906685488}"
TER,0.708,0.565,0.563,0.417,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/results.csv,"{'HuaweiTSC': -0.6253615750676496, 'JDExploreAcademy': -0.6197629933750116, 'Lan-Bridge': -0.6066063263973127, 'M2M100_1.2B-B4': -0.648688998786974, 'Online-A': -0.6100587851077727, 'Online-B': -0.5929831109452272, 'Online-G': -0.6128580759540916, 'Online-W': -0.6263879817112998, 'Online-Y': -0.6127647662592143, 'PROMT': -0.6315200149295512, 'QUARTZ_TuneReranking': -0.6748157133526174, 'SRPOL': -0.6231221423905944, 'bleu_bestmbr': -0.5873845292525893, 'comet_bestmbr': -0.6339460669963609, 'eTranslation': -0.6307735373705328, 'refA': -0.0}"
BLEU,0.758,0.671,0.541,0.517,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/results.csv,"{'HuaweiTSC': 0.271231210457712, 'JDExploreAcademy': 0.2741653253456325, 'Lan-Bridge': 0.2673581196724164, 'M2M100_1.2B-B4': 0.2493094820341996, 'Online-A': 0.2918713593058807, 'Online-B': 0.3048350029416713, 'Online-G': 0.2760418070639553, 'Online-W': 0.2674778408484186, 'Online-Y': 0.2821063107396466, 'PROMT': 0.2657106592137723, 'QUARTZ_TuneReranking': 0.2308466780069668, 'SRPOL': 0.2703182540237544, 'bleu_bestmbr': 0.308558119494942, 'comet_bestmbr': 0.2598967956193377, 'eTranslation': 0.2682703773070217, 'refA': 1.0000000000000004}"
chrF,0.792,0.756,0.573,0.583,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/results.csv,"{'HuaweiTSC': 0.559421214143656, 'JDExploreAcademy': 0.5689587266284027, 'Lan-Bridge': 0.5703953205620017, 'M2M100_1.2B-B4': 0.5347890698438664, 'Online-A': 0.5705898410303557, 'Online-B': 0.5809607204002222, 'Online-G': 0.5745896787844027, 'Online-W': 0.5675643252187971, 'Online-Y': 0.5588208224760155, 'PROMT': 0.555601498372876, 'QUARTZ_TuneReranking': 0.5305620074435892, 'SRPOL': 0.5616107814924741, 'bleu_bestmbr': 0.5796109671989641, 'comet_bestmbr': 0.5479529651841197, 'eTranslation': 0.55428005161636, 'refA': 1.0}"
ZeroEdit,0.733,0.666,0.487,0.553,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/results.csv,"{'HuaweiTSC': 0.0078277886497064, 'JDExploreAcademy': 0.0117416829745596, 'Lan-Bridge': 0.009784735812133, 'M2M100_1.2B-B4': 0.0058708414872798, 'Online-A': 0.0117416829745596, 'Online-B': 0.0117416829745596, 'Online-G': 0.0078277886497064, 'Online-W': 0.009784735812133, 'Online-Y': 0.009784735812133, 'PROMT': 0.009784735812133, 'QUARTZ_TuneReranking': 0.0019569471624266, 'SRPOL': 0.0078277886497064, 'bleu_bestmbr': 0.009784735812133, 'comet_bestmbr': 0.009784735812133, 'eTranslation': 0.0058708414872798, 'refA': 1.0}"
GLEU,0.85,0.85,0.575,0.7,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/results.csv,"{'HuaweiTSC': 0.6430447456571664, 'JDExploreAcademy': 0.6515108045827717, 'Lan-Bridge': 0.6391416142725079, 'M2M100_1.2B-B4': 0.6243647815510158, 'Online-A': 0.6545173593421696, 'Online-B': 0.6594093932910711, 'Online-G': 0.6498496767876072, 'Online-W': 0.6488900963426378, 'Online-Y': 0.6412249510160474, 'PROMT': 0.6416595323976981, 'QUARTZ_TuneReranking': 0.6160763249777823, 'SRPOL': 0.6451590710283852, 'bleu_bestmbr': 0.6607119901290529, 'comet_bestmbr': 0.6351190231277525, 'eTranslation': 0.6401950667685192, 'refA': 1.0}"
weighted-sum-seed-36-trials-1000_-1_1,0.75,0.562,0.27,0.5,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/universal_metrics/weighted-sum-seed-36-trials-1000_-1_1_ranks_systems.csv,"{'HuaweiTSC': 0.0369159008236304, 'JDExploreAcademy': 0.0390356635818865, 'Lan-Bridge': -0.0117684521958738, 'M2M100_1.2B-B4': 0.01712754186231, 'Online-A': 0.029414504587811, 'Online-B': 0.0388434193022172, 'Online-G': 0.0409035163845929, 'Online-W': 0.0665160236607723, 'Online-Y': 0.0178467080505739, 'PROMT': 0.0231303715606285, 'QUARTZ_TuneReranking': 0.0997883965182994, 'SRPOL': 0.0218760157893017, 'bleu_bestmbr': 0.0333436814596268, 'comet_bestmbr': 0.0903623491026627, 'eTranslation': 0.0220508693652367, 'refA': 0.1614413625723507}"
weighted-sum-seed-24-trials-1000_-1_1,0.767,0.576,0.468,0.533,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/universal_metrics/weighted-sum-seed-24-trials-1000_-1_1_ranks_systems.csv,"{'HuaweiTSC': 1.2242723194105474, 'JDExploreAcademy': 1.2340605676382348, 'Lan-Bridge': 1.1627187977230615, 'M2M100_1.2B-B4': 1.190071982130429, 'Online-A': 1.2145666679556606, 'Online-B': 1.2291939456600482, 'Online-G': 1.236941304649802, 'Online-W': 1.2654624341737548, 'Online-Y': 1.1974605663777025, 'PROMT': 1.2051929235031795, 'QUARTZ_TuneReranking': 1.2842809488531608, 'SRPOL': 1.2079677163087983, 'bleu_bestmbr': 1.2201708683747308, 'comet_bestmbr': 1.284205917774204, 'eTranslation': 1.2011162441995653, 'refA': 1.7245434964887074}"
weighted-mean-seed-36-trials-1000_0_1,0.783,0.629,0.524,0.567,en-ru,news,en-ru.refA.txt-news,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -1.7163333333333337, 'JDExploreAcademy': -1.1436666666666666, 'Lan-Bridge': -2.138666666666667, 'M2M100_1.2B-B4': -3.7356666666666674, 'Online-A': -1.8266666666666667, 'Online-B': -1.586666666666667, 'Online-G': -1.5040000000000004, 'Online-W': -1.3456666666666666, 'Online-Y': -2.056666666666667, 'PROMT': -2.041000000000001, 'QUARTZ_TuneReranking': -3.8220000000000036, 'SRPOL': -2.0173333333333345, 'bleu_bestmbr': -1.5743333333333331, 'comet_bestmbr': -2.0090000000000003, 'eTranslation': -2.297333333333335, 'refA': -0.43133333333333324}",data/wmt22//en-ru/domains/news/nlp-telescope-scores/en-ru-news/en-ru.refA.txt-news/universal_metrics/weighted-mean-seed-36-trials-1000_0_1_ranks_systems.csv,"{'HuaweiTSC': 0.6510975635556726, 'JDExploreAcademy': 0.6552415515213907, 'Lan-Bridge': 0.6334828333388356, 'M2M100_1.2B-B4': 0.6371752318114176, 'Online-A': 0.650449483463596, 'Online-B': 0.6560545326692979, 'Online-G': 0.6569825891236415, 'Online-W': 0.6632915048840379, 'Online-Y': 0.6431800332782375, 'PROMT': 0.6448897098036556, 'QUARTZ_TuneReranking': 0.6619080556203597, 'SRPOL': 0.6469779560359116, 'bleu_bestmbr': 0.6532479687472063, 'comet_bestmbr': 0.6639610025851969, 'eTranslation': 0.6440146501471636, 'refA': 0.7860471745126875}"
